Brand,Model,Engine Capacity,Price,Kilometers,Location
Royal Enfield Thunderbird 350X,2019,346,140000,22000,"G K M Colony, Chennai"
Royal Enfield Bullet Classic,2019,346,135000,12371,"Velachery, Chennai"
Mahindra Centuro,2014,106.7,50000,19000,"Pallavaram, Chennai"
Yamaha Fazer,2013,123.7,30000,35000,"Neelankarai, Chennai"
Bajaj Avenger,2008,178.6,33000,50000,"Ambattur, Chennai"
Honda Shine SP,2007,124.73,13500,60000,"Tambaram Sanatorium, Chennai"
Bajaj Platina 100 ES,2007,102,12000,29000,"Ambattur, Chennai"
TVS Suzuki Samurai,NA,98.2,19999,69000,"Chitlapakkam, Chennai"
Yamaha RX135,2000,132,73000,25000,"Porur, Chennai"
Honda CB Unicorn 160,2016,162.71,70000,16000,"Kk Nagar, Chennai"
Honda CB Unicorn,2015,149.1,35000,40000,"Manimangalam, Chennai"
TVS Apache RTR 200,2016,197.75,NA,190000,"Ayanavaram, Chennai"
UM Motorcycles Renegade Commando Mojave,2018,279.5,204999,7000,"Kk Nagar, Chennai"
Bajaj Pulsar 150,2011,150,15000,42000,"Porur, Chennai"
TVS Jupiter,2014,109,27000,30000,"Manapakkam, Chennai"
Hero Honda CBZ Xtreme,2013,149.2,30000,39000,"Alwarpet, Chennai"
Honda Dio,2017,109,17500,9536,"Chintadripet, Chennai"
Hero Splendor Plus 100,1999,97.2,18500,41715,"Anna Nagar, Chennai"
Suzuki Gixxer SF,2015,155,55000,59000,"Ekkatuthangal, Chennai"
Hero Destini 125,2019,124.6,45000,11900,"Poonamallee, Chennai"
Bajaj Pulsar NS200,2014,199.5,68000,28200,"Perambakkam, Chennai"
TVS XL 100,2014,99.7,12000,13883,"Madipakkam, Chennai"
Bajaj Pulsar,2010,NA,30000,60500,"Rajakilpakkam, Chennai"
Honda CB Unicorn,2010,149.1,29500,22000,"Saidapet, Chennai"
Bajaj Pulsar 150,2019,150,86000,12000,"Palavakkam, Chennai"
Hero Splendor Plus 100,2009,97.2,20000,46500,"Royapettah, Chennai"
TVS Wego,2018,NA,50000,21000,"Vanagaram, Chennai"
Suzuki Gixxer SF,2020,155,110000,18000,"Washermanpet, Chennai"
Yamaha FZ S,2019,153,85000,NA,"Ashok Nagar, Chennai"
Yamaha Fazer,2013,123.7,30000,35000,"Neelankarai, Chennai"
Honda Dio,2017,109,17500,9536,"Broadway, Chennai"
Honda Shine SP,2009,124.73,12000,25000,"Kottivakkam, Chennai"
Aprilia SR 150,2016,154.4,64990,13627,"Ambattur, Chennai"
Suzuki GS 150R,2010,149.5,NA,77000,"Kumaran Nagar, Chennai"
Honda CB Twister,2012,109,25000,39800,"Madipakkam, Chennai"
Royal Enfield Thunderbird 350,2015,346,105000,27000,"Ashok Nagar, Chennai"
Hero Destini 125,2020,124.6,85000,6000,"Nanganallur, Chennai"
TVS Apache RTR 160,2012,159.7,18000,57000,"Villivakkam, Chennai"
Bajaj Pulsar,2006,NA,17000,20000,"Agaram, Chennai"
TVS Phoenix,2018,124.5,23000,80000,"Kk Nagar, Chennai"
Hero Splendor Plus 100,2002,97.2,10000,90000,"Porur, Chennai"
Royal Enfield Bullet Classic,2016,346,125000,3000,"Ambattur, Chennai"
Royal Enfield Bullet,2019,346,140000,16412,"Virugambakkam, Chennai"
Royal Enfield Thunderbird 350X,2019,346,180000,4000,"Perumbakkam, Chennai"
Hero Honda Passion,2009,97.2,18000,37211,"Porur, Chennai"
Honda Dio,2011,109,15000,25000,"Kattupakkam, Chennai"
Hero Splendor iSmart,2019,97.2,59000,14000,"Thyagaraya Nagar, Chennai"
Honda Dio,2021,109,75000,500,"Thyagaraya Nagar, Chennai"
Hero Splendor iSmart,2020,97.2,62000,11000,"Thyagaraya Nagar, Chennai"
Hero Splendor iSmart,2021,97.2,65000,1000,"Thyagaraya Nagar, Chennai"
TVS Max 4R,2002,109.7,13000,72754,"Avadi, Chennai"
Honda Shine SP,2021,124.73,NA,NA,"Thyagaraya Nagar, Chennai"
Bajaj Pulsar NS200,2021,199.5,NA,NA,"Thyagaraya Nagar, Chennai"
Honda CB Unicorn 160,2021,162.71,NA,NA,"Thyagaraya Nagar, Chennai"
Bajaj Pulsar 220F,2021,220,NA,NA,"West Mambalam, Chennai"
Bajaj Pulsar,2021,NA,NA,NA,"West Mambalam, Chennai"
Hero Splendor iSmart,2021,97.2,NA,NA,"West Mambalam, Chennai"
Royal Enfield Bullet Classic,2018,346,130000,22300,"Velachery, Chennai"
Royal Enfield Bullet Electra,2009,346,75000,65000,"Urapakkam, Chennai"
Bajaj Discover F150,2015,144.8,34500,7979,"Thyagaraya Nagar, Chennai"
Bajaj Pulsar 150,2011,150,24500,89000,"Ayanavaram, Chennai"
Bajaj Pulsar 220F,2009,220,45000,11500,"Triplicane, Chennai"
Bajaj Pulsar 160 NS,2020,160.3,98000,12000,"Thiruvottiyur, Chennai"
Yamaha FZ S,2020,153,105000,15200,"Guduvanchery, Chennai"
Yamaha FZ S,2013,153,33999,66000,"Pozhichalur, Chennai"
TVS Scooty,2011,87.8,18000,26000,"Anna Nagar Western Extn., Chennai"
Yamaha FZ S,2020,153,105000,15200,"Guduvanchery, Chennai"
KTM RC 390,2017,373.27,170000,29250,"Mylapore, Chennai"
Honda Shine SP,2014,124.73,45000,40000,"Ambattur, Chennai"
TVS Ntorq 125,2020,124.79,90000,1300,"Tambaram East, Chennai"
Royal Enfield Thunderbird 350X,2019,346,130000,14000,"Mogappair, Chennai"
Bajaj Platina 100 ES,2018,102,40000,23000,"Poonamallee, Chennai"
Hero Passion Pro 100,2015,97.2,30000,50000,"Royapuram, Chennai"
TVS Apache RTR 160,2011,159.7,25000,65000,"Mangadu, Chennai"
Benelli TNT600i,2016,600,350000,2130,"Aminjikarai, Chennai"
Suzuki GS 150R,2010,149.5,20000,49000,"Madhavaram, Chennai"
Yamaha Fazer,2019,123.7,65000,14500,"Ambattur, Chennai"
KTM Duke 200,2016,199.5,25000,17734,"Chengalpattu, Chennai"
Bajaj Pulsar,2006,NA,17000,20000,"Agaram, Chennai"
Honda Shine SP,2016,124.73,37000,62000,"Gummidipundi, Chennai"
Honda Activa 4G,2017,109.2,42000,29000,"Nerkundram, Chennai"
UM Motorcycles Renegade Commando,2017,223,100000,6756,"Tambaram, Chennai"
Hero Honda Hunk,2011,149.2,18000,61780,"Tambaram West, Chennai"
Suzuki Hayabusa,2019,1340,900000,NA,"Okkiyam Thuraipakkam, Chennai"
Royal Enfield Bullet Classic,2016,346,110000,37400,"Avadi, Chennai"
Royal Enfield Bullet Classic,2020,346,45000,81243,"Chengalpattu, Chennai"
Suzuki Access,2018,124,45000,15000,"Tambaram West, Chennai"
Benelli TNT 25,2017,249,98000,18000,"Ambattur, Chennai"
TVS Victor,2004,109.2,NA,NA,"Broadway, Chennai"
TVS Victor,2004,109.2,10000,NA,"Mannady, Chennai"
Honda Activa 4G,2015,109.2,30000,38000,"G K M Colony, Chennai"
TVS Scooty,2006,NA,NA,36000,"Vadapalani, Chennai"
Yamaha Ray,2021,125,NA,NA,"West Mambalam, Chennai"
Yamaha Fascino,2021,113,NA,NA,"Thyagaraya Nagar, Chennai"
TVS Ntorq 125,2021,124.79,NA,NA,"Thyagaraya Nagar, Chennai"
TVS Jupiter,2021,109,NA,NA,"Thyagaraya Nagar, Chennai"
Honda Activa,2014,109,27000,48000,"Perungalathur, Chennai"
TVS Scooty Pep,2005,74.6,NA,150000,"Perungalathur, Chennai"
Yamaha Fazer,2011,123.7,26500,45000,"Kattupakkam, Chennai"
Honda Dio,2017,109,17500,9536,"Chengalpattu, Chennai"
Honda Shine SP,2013,124.73,25000,65000,"Villivakkam, Chennai"
Royal Enfield Thunderbird 350,2014,346,60000,53000,"Keelkattalai, Chennai"
Bajaj Pulsar 150,2014,150,35000,51000,"Greams Road, Chennai"
Honda Dio,2021,109,NA,NA,"Vyasar Nagar Colony, Chennai"
Honda Dio,2021,109,NA,NA,"West Mambalam, Chennai"
Honda Dio,2021,109,NA,NA,"Thyagaraya Nagar, Chennai"
Hero Passion Pro 100,2013,97.2,37000,NA,"2Nd Main Road, Chennai"
Hero Splendor Plus 100,2008,97.2,18000,68000,"Puzhal, Chennai"
Yamaha YZF R1,2011,998,50000,50000,"Ponniammanmedu, Chennai"
Bajaj Pulsar 220F,2021,220,NA,NA,"West Mambalam, Chennai"
Honda CB Unicorn 160,2021,162.71,NA,NA,"West Mambalam, Chennai"
Bajaj Pulsar NS200,2021,199.5,NA,NA,"West Mambalam, Chennai"
Bajaj Pulsar,2021,NA,NA,NA,"West Mambalam, Chennai"
Mahindra Rodeo,2006,124.6,13500,36000,"Kodambakkam, Chennai"
TVS Scooty,2006,NA,NA,3200,"Kodambakkam, Chennai"
Bajaj CT 100,2021,99.27,NA,NA,"West Mambalam, Chennai"
Hero Splendor iSmart,2021,97.2,NA,NA,"West Mambalam, Chennai"
Yamaha SS125,2011,123,23500,34000,"Thirumullaivoyal, Chennai"
Mahindra Rodeo,2012,124.6,NA,32000,"Vadapalani, Chennai"
Yamaha RX100,NA,NA,75000,100000,"Madhavaram, Chennai"
Bajaj Platina 100 ES,2010,102,23000,77400,"Guduvanchery, Chennai"
Yamaha FZ25,2019,249,100000,22685,"Sholinganallur, Chennai"
TVS Apache RTR 160,2018,159.7,55000,34000,"Thiruverkadu, Chennai"
Yamaha FZ S,2019,153,90000,17500,"St. Thomas Mount, Chennai"
Bajaj Pulsar,2017,NA,60000,32000,"Madipakkam, Chennai"
Bajaj Pulsar 180,2017,178.6,45000,50000,"Okkiyam Thuraipakkam, Chennai"
Honda Activa,2021,109,NA,NA,"Thyagaraya Nagar, Chennai"
KTM Duke 390,2020,373,250000,7581,"Kolathur, Chennai"
Honda Dio,2021,109,NA,NA,"West Mambalam, Chennai"
Honda Activa,2021,109,NA,NA,"Thyagaraya Nagar, Chennai"
Honda Activa,2021,109,NA,NA,"West Mambalam, Chennai"
Honda Dio,2021,109,NA,NA,"West Mambalam, Chennai"
Honda Dio,2021,109,NA,NA,"West Mambalam, Chennai"
Honda Dio,2021,109,NA,NA,"West Mambalam, Chennai"
Honda Dio,2021,109,NA,NA,"West Mambalam, Chennai"
Honda Dio,2021,109,NA,NA,"West Mambalam, Chennai"
Honda Dio,2021,109,NA,NA,"Thyagaraya Nagar, Chennai"
Honda Dio,2021,109,NA,NA,"West Mambalam, Chennai"
Honda Dio,2021,109,NA,NA,"Thyagaraya Nagar, Chennai"
Honda CB Hornet 160R,2016,162.71,75000,1950,"Saligramam, Chennai"
Honda Dio,2021,109,NA,NA,"West Mambalam, Chennai"
TVS Apache RTR 200,2018,197.75,96000,20000,"Chrompet, Chennai"
Royal Enfield Bullet Classic,2016,346,25000,12587,"Camp Road, Chennai"
Bajaj Discover 125M,2021,124.6,100000,4000,"Adyar, Chennai"
Honda Dio,2021,109,NA,NA,"West Mambalam, Chennai"
Yamaha SZ-R,2012,153,29000,19800,"Choolaimedu, Chennai"
Yamaha SZ-R,2013,153,29000,19800,"Choolaimedu, Chennai"
Yamaha Ray,2018,125,65000,24000,"Chitlapakkam, Chennai"
TVS Apache RTR 160,2015,159.7,60000,28000,"Mogappair East, Chennai"
Yamaha YZF R15,2019,149,150000,9200,"Egmore, Chennai"
Honda Dio,2018,109,54000,13000,"Ramapuram, Chennai"
Yamaha FZ 16,2015,153,50000,48000,"Anna Nagar Western Extn., Chennai"
Honda Activa,2014,109,NA,NA,"Korattur, Chennai"
KTM Duke 200,2016,199.5,25000,14371,"Kandigai, Chennai"
Bajaj Pulsar,2012,NA,25000,123533,"Perambur, Chennai"
KTM Duke 200,2016,199.5,25000,14371,"Kandancavadi, Chennai"
Suzuki Gixxer,2015,155,40000,40000,"Egmore, Chennai"
Bajaj Discover 125cc,2010,124.6,30000,10000,"Ayappakkam, Chennai"
Royal Enfield Bullet Classic,2018,346,149000,22000,"Neelankarai, Chennai"
TVS Jupiter,2017,109,43000,8200,"Nanganallur, Chennai"
Yamaha YZF R15,2018,149,76000,21000,"Avadi, Chennai"
Royal Enfield Bullet Classic,2019,499,178000,14000,"Anna Nagar, Chennai"
Yamaha YZF R15,2018,149,102000,24000,"Valasarawakkam, Chennai"
TVS Suzuki Samurai,2002,98.2,30000,15000,"Mangadu, Chennai"
Royal Enfield Himalayan,2016,411,130000,10000,"Pallikaranai, Chennai"
Honda CB Hornet 160R,2017,162.71,49999,48000,"Valasarawakkam, Chennai"
Bajaj Discover 100 M,2013,102,18000,67000,"Pattabiram, Chennai"
TVS Heavy Duty Super XL,2006,69.9,NA,43000,"Tiruvallur, Chennai"
KTM Duke 200,2016,199.5,20000,15278,"Kattankulathur, Chennai"
Honda Activa 4G,2019,109.2,55000,6500,"Thyagaraya Nagar, Chennai"
Bajaj Pulsar 180,2013,178.6,30000,29000,"Kilkattalai, Chennai"
Bajaj Discover,2005,124.52,12000,25000,"Poonamallee, Chennai"
Honda Activa 4G,2015,109.2,32000,21000,"Sholinganallur, Chennai"
Honda Dream Neo,2017,109,17500,9536,"Chettipunyam, Chennai"
Suzuki Access,2010,124,20000,30000,"Madipakkam, Chennai"
Bajaj Avenger 220,2013,220,30000,50000,"Injambakkam, Chennai"
TVS Heavy Duty Super XL,2006,69.9,NA,43000,"Tiruvallur, Chennai"
Hero Honda Passion,2010,97.2,26000,2600,"Perumbakkam, Chennai"
Royal Enfield Bullet Classic,2020,346,55000,12500,"CIT Nagar, Chennai"
Royal Enfield Thunderbird 350,2005,346,60000,35000,"Guduvanchery, Chennai"
Honda Shine SP,2013,124.73,20000,45000,"Ambattur, Chennai"
Yamaha Fazer,2011,123.7,28000,45000,"Kattupakkam, Chennai"
Bajaj Pulsar AS200,2015,199.5,50000,51000,"Iyyappanthangal, Chennai"
Hero Honda Passion,2010,97.2,26000,26000,"Perumbakkam, Chennai"
Royal Enfield Thunderbird 350,2013,346,85000,80250,"Pattabiram, Chennai"
Honda Activa,2021,109,65000,2000,"Vepery, Chennai"
KTM Duke 200,2016,199.5,25000,14371,"Kelambakkam, Chennai"
Yamaha YZF-R3,2018,321,275000,9500,"Kelambakkam, Chennai"
Yamaha SZ-RR,2018,153,50000,13500,"Thiruvallur Road, Chennai"
TVS Apache RTR 200,2016,197.75,55000,40000,"Tambaram East, Chennai"
Bajaj Pulsar 220F,2011,220,40000,45000,"Guindy Industrial Estate, Chennai"
Honda Aviator,2010,102,35000,17000,"Villivakkam, Chennai"
Honda Shine SP,2018,124.73,60000,24500,"Sholingnallur, Chennai"
Yamaha Fascino,2021,113,NA,NA,"Mylapore, Chennai"
Royal Enfield Bullet Classic,2016,346,98000,23000,"Manali New Town, Chennai"
Royal Enfield Bullet Classic,2015,346,110000,14000,"Pallavaram, Chennai"
Honda Activa,2012,109,23500,23563,"Chennai G.p.o., Chennai"
Royal Enfield Bullet Classic,2018,499,145000,2500,"Kolathur, Chennai"
TVS Apache,2017,NA,20000,NA,"Royappa Nagar, Chennai"
Honda Aviator,2010,102,18500,30000,"Velachery, Chennai"
Yamaha Fazer,2011,123.7,28000,45000,"Kattupakkam, Chennai"
Yamaha Fazer,2011,123.7,27000,45000,"Kattupakkam, Chennai"
Honda Cliq,2017,109.19,48000,500,"Ayappakkam, Chennai"
Royal Enfield Bullet Classic,2017,499,140000,1775,"Adambakkam, Chennai"
Royal Enfield Bullet Classic,2016,346,105000,25000,"Alwarpet, Chennai"
Royal Enfield Bullet,2021,346,135000,3500,"Velachery, Chennai"
Yamaha Saluto,2016,125,32000,60000,"Perambur, Chennai"
Jawa Forty Two,2020,293,190000,3000,"Anna Nagar, Chennai"
Honda CBR250R,2018,249.6,160000,5900,"Kolathur, Chennai"
Suzuki Gixxer SF,2016,155,58000,41800,"Broadway, Chennai"
Yamaha Gladiator,2011,NA,20000,35000,"Kavaraipettai, Chennai"
Bajaj Pulsar AS200,2007,199.5,25000,40000,"Kilkattalai, Chennai"
Yamaha Fazer,2011,123.7,28000,45000,"Kattupakkam, Chennai"
Bajaj Pulsar 150,2003,150,15000,49900,"Chrompet, Chennai"
KTM RC 390,2015,373.27,140000,29000,"Adyar, Chennai"
TVS Scooty,2015,87.8,29000,15000,"Ashok Nagar, Chennai"
Honda Activa 4G,2018,109.2,50000,16300,"Thoraipakkam, Chennai"
Honda Dio,2010,109,23000,17000,"Vannanthurai, Chennai"
KTM Duke 200,2020,199.5,172000,10549,"Triplicane, Chennai"
Bajaj Avenger,2016,178.6,59000,25198,"Redhills, Chennai"
TVS Apache RR 310,2019,312.2,160000,23000,"Guindy, Chennai"
TVS Apache RTR 160,2019,159.7,85000,14000,"Maduravoyal, Chennai"
Honda Activa,2010,109,21500,29999,"Velachery, Chennai"
Honda Dio,2004,109,18500,39581,"Velachery, Chennai"
Royal Enfield Bullet Classic,2015,346,NA,25000,"Kolathur, Chennai"
TVS Apache,2012,177.4,48000,41253,"Avadi, Chennai"
Honda CB Twister,2012,109,21000,23600,"Guduvanchery, Chennai"
Yamaha YZF R15,2017,149,88000,60000,"Pallavaram, Chennai"
Hero Splendor Plus 100,2016,97.2,31000,64000,"Puzhal, Chennai"
Royal Enfield Thunderbird 350,2021,346,215000,150,"Vysarpadi, Chennai"
Royal Enfield Bullet 350 Twinspark,2019,346,120000,14000,"Agaram, Chennai"
Royal Enfield Bullet,NA,346,100000,10000,"Thalambur, Chennai"
Yamaha YZF R15,2017,149,85000,19150,"Icfcolony, Chennai"
Honda Dream Yuga,2013,109,20000,40000,"Ramapuram, Chennai"
Hero Honda CD Deluxe,2007,97.2,15500,50000,"Ayanavaram, Chennai"
Yamaha YZF R15,2017,149,65000,59000,"Tambaram, Chennai"
Royal Enfield Bullet Classic,2017,346,130000,13500,"Perungudi, Chennai"
Royal Enfield Thunderbird 350,2019,346,155000,11200,"Alwarpet, Chennai"
Bajaj V15,2017,149.5,41000,22000,"Villivakkam, Chennai"
Bajaj Discover 125 ST,2012,124.6,25000,48000,"Kk Nagar, Chennai"
Royal Enfield Bullet Classic,2017,346,110000,34700,"Ottiyabakkam, Chennai"
Honda CB Twister,2012,109,25000,23600,"Guduvanchery, Chennai"
Bajaj Discover 125cc,2015,124.6,25000,24500,"Kodungaiyur, Chennai"
Yamaha Ray,2017,125,33000,26000,"Navallur, Chennai"
Yamaha SZ-R,2011,153,29000,85000,"Tambaram West, Chennai"
Royal Enfield Bullet Classic,2019,346,160000,12250,"Avadi, Chennai"
Honda Shine SP,2014,124.73,24000,42000,"Redhills, Chennai"
Hero Splendor Plus 100,2007,97.2,17500,42211,"Porur, Chennai"
Yamaha Ray Z,2016,113,34500,35000,"Thiruneermalai, Chennai"
Bajaj Platina 100 ES,2019,102,45000,27500,"Kovilambakkam, Chennai"
Suzuki Gixxer,2015,155,40000,50000,"Poonamallee, Chennai"
Royal Enfield Bullet Classic,2014,346,130000,26000,"Maduravoyal, Chennai"
Royal Enfield Bullet Classic,2017,346,114999,7000,"Aminjikarai, Chennai"
Royal Enfield Bullet Classic,2017,346,114999,7000,"Aminjikarai, Chennai"
Honda Activa,2013,109,23000,30000,"Saligramam, Chennai"
Hero Passion Pro 100,2012,97.2,24000,40000,"Guindy, Chennai"
Bajaj Pulsar NS200,2014,199.5,52000,53000,"Saidapet, Chennai"
Hero Maestro Edge 125,2016,124.6,40000,8000,"Nesapakkam, Chennai"
Royal Enfield Bullet Classic,2020,346,51000,8720,"Nanganallur, Chennai"
Suzuki GS 150R,2000,149.5,15000,69000,"Avadi, Chennai"
Bajaj Pulsar,2012,NA,25000,30000,"Korattur, Chennai"
Yamaha Fascino,2016,113,38500,11000,"Palavakkam, Chennai"
Hero Karizma ZMR,2012,223,59999,78000,"Velachery, Chennai"
Hero Karizma ZMR,2012,223,59999,78000,"Velachery, Chennai"
Bajaj Chetak 2S,NA,145.45,40000,42000,"Urapakkam, Chennai"
Bajaj Pulsar 220F,2011,220,30000,87200,"Kovilambakkam, Chennai"
TVS Jupiter,2017,109,42000,23900,"Kalaignar Karunanidhi Nagar, Chennai"
Honda Dio,2019,109,62500,23000,"Mandaveli, Chennai"
TVS Ntorq 125,2018,124.79,45000,50000,"Panaiyur, Chennai"
TVS Suzuki Samurai,1997,98.2,12000,52586,"Alandur, Chennai"
Royal Enfield Bullet Classic,2020,346,162000,11000,"Kolathur, Chennai"
Yamaha SS125,2011,123,23000,15000,"Anna Nagar West, Chennai"
Benelli TNT302,2015,300,145000,35800,"Ennore, Chennai"
Yamaha YZF R15,2018,149,90000,20096,"Villivakkam, Chennai"
Yamaha FZ S,2013,153,30000,65000,"Villivakkam, Chennai"
Honda Activa,2015,109,16500,57000,"Ambattur, Chennai"
Yamaha YZF R15,2015,149,70000,30000,"Mylapore, Chennai"
Yamaha YZF-R3,2019,321,300000,19500,"Sholingnallur, Chennai"
Bajaj Discover 100 M,2014,102,26000,60000,"Pammal, Chennai"
Royal Enfield Bullet Classic,2018,346,150000,34000,"Nanganallur, Chennai"
Royal Enfield Bullet,NA,346,165000,14500,"Padi, Chennai"
Honda Shine SP,2015,124.73,50000,17000,"Mogappair East, Chennai"
Yamaha YZF R15,2018,149,120000,26000,"Ponniammanmedu, Chennai"
Yamaha YBR 125,2011,123,35000,60000,"Choolai, Chennai"
Royal Enfield Bullet Classic,2020,346,45000,12500,"Cathedral Road, Chennai"
TVS Wego,2014,NA,15000,35000,"Perumbakkam, Chennai"
TVS Apache RTR 200,2019,197.75,90000,4800,"Perungudi, Chennai"
Yamaha RX100,NA,NA,99999,NA,"Perambur, Chennai"
Hero Splendor Pro 100,2018,97.2,420000,200,"Chennai, Chennai"
TVS Victor,2006,109.3,15000,37800,"Mogappair, Chennai"
TVS Victor,2006,109.3,15000,37800,"Mogappair, Chennai"
Royal Enfield Bullet Classic,2018,346,155000,11717,"Sholinganallur, Chennai"
Bajaj Avenger 220,2017,220,75000,5900,"Vadapalani, Chennai"
Honda Activa 4G,2020,109.2,35999,5765,"Adambakkam, Chennai"
Bajaj Pulsar,2011,NA,25000,27650,"Tambaram West, Chennai"
Yamaha YZF R1,2011,998,NA,90000,"Choolai, Chennai"
Royal Enfield Bullet Electra,2016,346,110000,50000,"Royapuram, Chennai"
Bajaj Pulsar 220F,2013,220,38000,54000,"Aminjikarai, Chennai"
Hero Maestro,2018,109,25000,80000,"Anna Nagar Western Extn., Chennai"
Yamaha Ray Z,2016,113,34000,14000,"Aminjikarai, Chennai"
Hero Honda Karizma,2016,223,45000,55000,"Thirumullaivoyal, Chennai"
KTM Duke 200,2016,199.5,35000,15855,"Jamalia, Chennai"
Mahindra Centuro,2013,106.7,15000,35000,"Thyagaraya Nagar, Chennai"
Honda Activa,2011,109,25000,275435,"Velachery, Chennai"
Yamaha YZF R1,2007,998,700000,22000,"Kodambakkam, Chennai"
KTM Duke 390,2014,373,109000,16000,"Teynampet, Chennai"
Royal Enfield Bullet Electra Twinspark,2014,346,114999,NA,"Virugambakkam, Chennai"
Honda Activa 125cc,2017,124.9,42000,17000,"Adambakkam, Chennai"
Royal Enfield Bullet Classic,2020,346,200000,2500,"Adambakkam, Chennai"
Yamaha FZ25,2019,249,85000,36000,"Avadi, Chennai"
KTM Duke 200,2016,199.5,120000,20000,"Nazarathpettai, Chennai"
KTM Duke 200,2016,199.5,120000,20000,"Nazarathpettai, Chennai"
Yamaha YZF R15,2018,149,123000,16500,"Anakaputhur, Chennai"
TVS Ntorq 125,2018,124.79,60000,17200,"Thirumudivakkam, Chennai"
TVS MaX 100 Dlx,2002,NA,12000,72756,"Avadi, Chennai"
Royal Enfield Bullet Classic,2018,346,130000,20000,"Sabari Nagar, Chennai"
Honda Shine SP,2016,124.73,24000,36000,"Redhills, Chennai"
Royal Enfield Bullet Classic,2020,346,51000,8720,"Icfcolony, Chennai"
Jawa Forty Two,2021,293,180000,1600,"Puzhuthivakkam, Chennai"
Honda Shine SP,2018,124.73,65000,5000,"Kodambakkam, Chennai"
Bajaj Pulsar NS200,2017,199.5,73000,27275,"Gerugambakkam, Chennai"
Royal Enfield Bullet 350 Twinspark,2011,346,90000,52000,"Nandanam, Chennai"
Honda CB Unicorn,2012,149.1,35000,27000,"Virugambakkam, Chennai"
Royal Enfield Bullet Classic,2018,346,125000,35000,"Madhavaram, Chennai"
Royal Enfield Bullet Classic,2020,346,65000,2000,"Karanodai, Chennai"
KTM Duke 200,2016,199.5,26000,35677,"Alathur, Chennai"
Bajaj Pulsar 180,2010,178.6,22000,49000,"Chitlapakkam, Chennai"
Yamaha Fazer,2012,123.7,28000,28740,"Padi, Chennai"
Honda CBR250R,2015,249.6,90000,45000,"Selaiyur, Chennai"
Honda Dio,2019,109,59500,10699,"Ponniammanmedu, Chennai"
Honda Activa 4G,2019,109.2,57000,15000,"Adyar, Chennai"
Royal Enfield Bullet,NA,346,100000,1000,"Porur, Chennai"
Honda Dio,2016,109,32000,26000,"Kodambakkam, Chennai"
Royal Enfield Bullet Classic,2020,346,45000,9658,"Aminjikarai, Chennai"
KTM Duke 200,2016,199.5,25000,15241,"Gst Road, Chennai"
Yamaha YZF R15,2021,149,83000,450,"Koyambedu, Chennai"
KTM Duke 200,2016,199.5,20000,15248,"Choolaimedu, Chennai"
Royal Enfield Bullet Classic,2020,346,85000,2000,"Aranvoyal, Chennai"
Honda CB Hornet 160R,2020,162.71,134000,1000,"Iyyappanthangal, Chennai"
Hero XPulse,2020,199.6,90000,7800,"Tambaram Sanatorium, Chennai"
TVS Suzuki Samurai,2000,98.2,NA,50000,"Nesapakkam, Chennai"
Honda Activa i,2014,109.2,28500,25000,"Perambur, Chennai"
Royal Enfield Thunderbird 350,2011,346,73000,20000,"Thirumullaivoyal, Chennai"
Hero Splendor Plus 100,2008,97.2,20000,60000,"Korattur, Chennai"
TVS Apache RR 310,2018,312.2,180000,3700,"Navallur, Chennai"
Hero Honda Passion,2008,97.2,NA,40000,"Royapuram, Chennai"
Yamaha Fazer 125,2014,123.7,30000,51000,"Perungudi, Chennai"
KTM Duke 200,2016,199.5,25000,15520,"Ambattur Industrial Estate, Chennai"
Yamaha FZ-1,2016,998,62000,42000,"Mogappair Eri Scheme, Chennai"
Royal Enfield Bullet Classic,2018,346,55000,25807,"Alandur, Chennai"
KTM Duke 200,2016,199.5,25000,15520,"Anna Nagar East, Chennai"
Yamaha RX135,2003,132,85000,1200,"Velachery, Chennai"
TVS Scooty,2006,NA,NA,20000,"Sembakkam, Chennai"
Bajaj Pulsar AS200,2017,199.5,65000,39300,"Medavakkam, Chennai"
Hero Splendor Plus 100,2006,97.2,24000,45000,"Kotturpuram, Chennai"
Hero Glamour 125,2009,124.8,10000,120000,"Pallikaranai, Chennai"
Yamaha FZ-1,2017,998,70000,27000,"Poonamallee, Chennai"
Yamaha FZ 16,2014,153,42000,55000,"Mannady, Chennai"
Bajaj Pulsar,2013,NA,29500,NA,"Avadi, Chennai"
UM Motorcycles Renegade Commando,2017,223,85000,10000,"Tambaram, Chennai"
Royal Enfield Bullet Classic,2017,346,125000,33000,"Ambattur, Chennai"
Hero Honda CBZ Xtreme,2011,149.2,21000,53000,"Camp Road, Chennai"
Hero Passion Pro 100,2009,97.2,15000,300000,"West Mambalam, Chennai"
Honda Activa,2014,109,29500,38000,"Chengalpattu, Chennai"
KTM RC 200,2017,199.5,160000,54600,"Avadi, Chennai"
Royal Enfield Bullet Classic,2020,346,45000,9658,"Adambakkam, Chennai"
TVS Jupiter,2018,109,58000,5500,"Thiruvallur Road, Chennai"
Yamaha FZ S,2014,153,41000,29000,"Madipakkam, Chennai"
Mahindra Centuro,2014,106.7,12000,25000,"Kolathur, Chennai"
Honda Activa,2012,109,25000,12000,"Urapakkam, Chennai"
Royal Enfield Bullet Classic,2015,346,80000,33600,"Poonamallee, Chennai"
Honda Activa,2012,109,25000,24000,"Guduvanchery, Chennai"
