Brand,Model,Engine Capacity,Price,Kilometers,Location
Royal Enfield Himalayan,2020,411,200000,5200,"Adyar, Chennai"
Yamaha SS125,2014,123,28000,20000,"Kodungaiyur, Chennai"
Yamaha YZF R15,2017,149,85000,37000,"Chembarambakkam, Chennai"
Bajaj Pulsar NS200,2018,199.5,80000,27000,"Pattabiram, Chennai"
Yamaha Fazer,2012,123.7,30000,35000,"Palavakkam, Chennai"
Bajaj Pulsar NS200,2014,199.5,50000,40000,"Kodungaiyur, Chennai"
Royal Enfield Bullet,2000,346,150000,9000,"Alwarthirunagar, Chennai"
Yamaha FZ S,2016,153,NA,30000,"Poonamallee, Chennai"
Honda Dio,2017,109,38500,19500,"Anna Nagar Western Extn., Chennai"
TVS Scooty,2021,87.8,NA,NA,"Choolaimedu, Chennai"
Bajaj Dominar 400,2017,373.3,114999,6500,"Nolambur, Chennai"
Honda Dio,2017,109,39000,19500,"Mogappair, Chennai"
Bajaj Avenger 220,2018,220,88000,1000,"Ambattur, Chennai"
Bajaj Pulsar,2011,NA,15000,50000,"Thirumullaivoyal, Chennai"
Royal Enfield Himalayan,2019,411,204999,6500,"Thiruvanmiyur, Chennai"
Hero Honda CBZ Xtreme,2014,149.2,18000,36000,"Avadi, Chennai"
Suzuki Gixxer,2016,155,55000,37000,"Pallikaranai, Chennai"
Royal Enfield Bullet Classic,2019,346,55000,8245,"Irumbuliyur, Chennai"
Suzuki Gixxer SF,2016,155,55000,23586,"Moulivakkam, Chennai"
Honda Dio,2017,109,17500,9536,"Egmore, Chennai"
Royal Enfield Bullet Classic,2019,346,55000,8385,"Injambakkam, Chennai"
Royal Enfield Thunderbird 350,2015,346,NA,55318,"Pallikaranai, Chennai"
Yamaha RX135,1996,132,105000,3533,"Manali, Chennai"
Hero Honda CBZ Xtreme,2009,149.2,NA,43000,"Mugalivakkam, Chennai"
Royal Enfield Thunderbird 500,2016,499,145000,25275,"Madipakkam, Chennai"
Hero Destini 125,2021,124.6,65000,5000,"Uthandi, Chennai"
Royal Enfield Bullet 500,NA,499,100000,100000,"Kattupakkam, Chennai"
Yamaha Fazer,2010,123.7,22000,34000,"Triplicane, Chennai"
Bajaj Pulsar NS200,2013,199.5,60000,29500,"Iit Madras, Chennai"
Aprilia SR 150,2021,154.4,120000,5645,"Nungambakkam, Chennai"
Bajaj Pulsar,2018,NA,60000,11000,"Semmencherry, Chennai"
Bajaj Avenger 220,2013,220,35000,20000,"Vadapalani, Chennai"
Bajaj Avenger 220,2018,220,77700,1000,"Shastri Nagar, Chennai"
TVS Apache RTR 160,2009,159.7,15000,120000,"Vanuvampet, Chennai"
Hero Passion Pro 100,2012,97.2,25000,40000,"Neelankarai, Chennai"
TVS Scooty Zest,2019,109.7,55000,2000,"Navallur, Chennai"
Yamaha YZF R15,2017,149,90000,45000,"Tambaram, Chennai"
Royal Enfield Bullet Classic,2015,346,135000,30000,"Chintadripet, Chennai"
Hero Honda Karizma,2008,223,26000,70000,"Kottivakkam, Chennai"
Honda Activa i,2007,109.2,NA,40823,"Kovilambakkam, Chennai"
Royal Enfield Bullet Classic,2020,346,55000,15298,"Balavinayagar Nagar, Chennai"
Bajaj 4S champion,NA,NA,20000,11000,"Avadi, Chennai"
Bajaj 4S champion,NA,NA,20000,11000,"Avadi, Chennai"
Piaggio Vespa,2012,125,28000,20000,"Kolathur, Chennai"
Bajaj Pulsar AS200,2015,199.5,48500,51000,"Ashok Nagar, Chennai"
Royal Enfield Bullet Electra,2005,346,110000,38000,"Palavakkam, Chennai"
TVS Scooty,2014,87.8,25500,30600,"Tambaram Sanatorium, Chennai"
Honda Dio,2017,109,17500,9536,"Periyamet, Chennai"
Royal Enfield Bullet Classic,2018,346,100000,39000,"Ambattur, Chennai"
Honda Dio,2017,109,17500,9536,"Kelambakkam, Chennai"
Yamaha YZF R15,2016,149,90000,18000,"Perumbakkam, Chennai"
KTM Duke 200,2016,199.5,25000,18520,"Anna Nagar Western Extn., Chennai"
Royal Enfield Bullet Classic,2019,346,55000,8375,"Kotturpuram, Chennai"
Royal Enfield Bullet Classic,2019,346,55000,8375,"Kotturpuram, Chennai"
TVS Jupiter,2019,109,56000,16670,"Tiruvottiyur, Chennai"
Suzuki Access,2018,124,55000,33000,"Urapakkam, Chennai"
TVS Scooty,2009,87.8,10000,50000,"Raja Annamalaipuram, Chennai"
Yamaha RX100,NA,NA,100000,15000,"Kolapakkam, Chennai"
Honda Shine SP,2012,124.73,35000,40000,"Adyar, Chennai"
Honda CB Unicorn,2010,149.1,22000,40000,"Pallikaranai, Chennai"
Yamaha YZF R15,2010,149,NA,58696,"Alathur, Chennai"
Aprilia RSV4,2021,999,120000,5645,"Nungambakkam, Chennai"
Hero Honda CD Deluxe,2011,97.2,15000,40000,"Villivakkam, Chennai"
Bajaj Pulsar,2006,NA,13000,50000,"Perambur, Chennai"
Yezdi Classic,NA,NA,90000,50000,"Tondiarpet, Chennai"
Yamaha YZF R15,2017,149,85000,45910,"Poonamallee, Chennai"
Aprilia SR 150,2017,154.4,60000,29782,"Manapakkam, Chennai"
Suzuki Burgman Street,2019,124,55000,14426,"Choolaimedu, Chennai"
Royal Enfield Thunderbird 350,2017,346,92000,27000,"Madipakkam, Chennai"
Royal Enfield Thunderbird 350X,2019,346,140000,12000,"Mugalivakkam, Chennai"
Royal Enfield Thunderbird 350,2017,346,110000,27000,"Madurapakkam, Chennai"
Royal Enfield Bullet Classic,2017,346,150000,23500,"Neelankarai, Chennai"
Yamaha Fazer,2019,153,75000,15500,"Neelankarai, Chennai"
Hero Honda CBZ Xtreme,2012,149.2,26500,25000,"Palavakkam, Chennai"
Bajaj Pulsar,2010,NA,22000,48000,"Kovilambakkam, Chennai"
Piaggio Vespa,2017,125,70000,23699,"Padi, Chennai"
Royal Enfield Bullet Classic,2017,346,135000,20486,"Kolathur, Chennai"
Royal Enfield Bullet Classic,2018,499,190000,9500,"Velachery, Chennai"
Yamaha FZ S,2017,153,50000,49000,"Ennore, Chennai"
Royal Enfield Thunderbird 350,2011,346,85000,25000,"Chepauk, Chennai"
Bajaj Pulsar,2004,NA,65000,1000,"Mangadu, Chennai"
Bajaj Discover 150,2011,144.8,20000,46770,"Pallikaranai, Chennai"
TVS Apache RTR 160,2008,159.7,25000,50000,"Chepauk, Chennai"
TVS Apache RTR 160,2009,159.7,15000,100000,"Madipakkam, Chennai"
TVS Victor,2003,109.2,12000,48000,"Thyagaraya Nagar, Chennai"
Yamaha FZ-1,2016,998,65000,12350,"Puzhuthivakkam, Chennai"
KTM Duke 200,2019,199.5,155000,15800,"Kotturpuram, Chennai"
Kawasaki Bajaj Ninja 300,2015,296,200000,13200,"Virugambakkam, Chennai"
Honda Dio,2017,109,17500,9536,"Chintadripet, Chennai"
Royal Enfield Bullet Classic,2019,346,55000,8652,"Irumbuliyur, Chennai"
Piaggio Vespa,2019,125,90000,900,"Kelambakkam, Chennai"
Royal Enfield Bullet Classic,2019,346,55000,8255,"Injambakkam, Chennai"
